ID,Text,Age,Gender,Physical,Race,Religion,Others
1,sarap mambully netong mga bobong gen z pota HAHHAHAHA,1,0,0,0,0,0
2,"TANGINA NG PINALIT NG KAPATID KO KAY ATE. ANG PANGET NA NGA NG UGALI, ANG PANGET NYA PA LITERAL??? WAG MO KO IRAPRAPAN DYAN BAKA GUSTO MONG PANTAYIN KO YANG SUNGKI MONG IPIN TANGINA. DAGDAG PA, USO ALIGO ATE HA? AMOY NA AMOY KO ANGHIT MO TANGINA MAHIYA KA NAMAN",0,1,0,0,0,0
3,Tangina Chinese. Pinapasakop naman tayo ng isang tanga-tangang presidente sa mga chingchong eh,0,0,0,1,0,0
4,tangina ng mga straight cis girls na walang alam sabihin kundi “yas hunty serving you lewks spill the tea sis yas kween” pero pagdating sa lgbt rights walang ebas haha mukha kayong tanga pero sige lang,0,1,0,0,0,0
5,"hanggang ngayon, na bebwesit pa rin ako don sa batang badjao kanina na kumapit sa paa ko tapos nagdadabog. edi tangina ang dumi ng pants ko. sarap tadjakan ni gago. bwesit talaga sa buhay ang mga bata mga pakyu!",1,0,0,1,0,0
6,no hate but these aetas should just stay in the mountains?? dont attack me para rin sa heritage natin yun saka like duh ang hirap mag-adapt dito sa city do yall expect them to learn well?,0,0,0,1,0,0
7,"ay bakit?porke ba nasa America ka ay di ka na Pinoy?ulol! Magpa-blood transfusion ka man na galing sa Amerikano, Pinoy ka pa rin!! stupido!",0,0,0,1,0,0
8,bitch youre a motherfucking creep putangina mo pakyu pasalamat ka di ako pwede mag mura sa english or punyeta ka baka nakarinig ka na ng maraming mura bwiset kang hayop ka ang sarap mo ipalipad sa mars,0,0,0,0,0,1
9,"China bar, I will never forget what you did. Putangina nyo talaga kayo talaga source of stress naming mga pinoy",0,0,0,1,0,0
10,ang bobo mo antanga mo bulag ka na nga bingi ka pa tsk,0,0,1,0,0,0
11,Tangina ng mga girl gamer sa ml ambobobo nyo mag ros nalang kayo,0,1,0,0,0,0
12,Bading at Malandutay ampts. Gago! ./. :) Walang friends.,0,1,0,0,0,0
13,PUTANG INA NIYONG MAKASAKAY N KALA NIYO BAYAD NIYO BUONG UPUAN MASKI KALAHATING LEFT CHEEK NG PUWET KO DI NA MAKAUPO PUTANG INA NIYO!!!,0,0,0,0,0,1
14,Ano ba kasing pinaglalaban ng mga Iglesia sa EDSA? Ang gulo na nga dun dinagdagan pa. Parang mga ulol lang.,0,0,0,0,1,0
15,Napakaimmature bilang teenager taena hindi ka dapat binibigyan ng phone,1,0,0,0,0,0
16,TANGINA MO POKPOK!!! WHORE!!! CUNT!!! CHEATER!!! Send send ka pa ng puke mo kaluwang naman. Send send ka pa ng suso mo kaliit naman. HAHAHAHAH 🤮,0,1,1,0,0,0
17,PUTANGINA NINYONG MGA NANGGAGANTSO LALO NGAYONG PANAHON NATO!!!! LAHAT KAYONG MANLOLOKO NG KAPWA PAKSHET KAYO!!! SARAP NINYONG SAKSAKIN NG MATULIS NA LAPIS SA MATA!!! MAPANIS SANA AGAD MGA SPAGHETTI NINYO!!!,0,0,0,0,0,1
18,Talaga? After niya pagsabihan na putangina sa mga katoliko at may All Souls Day at All Saints Day pa daw na nalalaman??? ULOL na presidente,0,0,0,0,1,0
19,PUTANGINA TALAGA NG MGA INC SERYOSO LUMAYAS NA KAYO SA KULTO NA YAN MAMAMATAY KAYO DYAN SINASABI KO SA INYO,0,0,0,0,1,0
20,tangina talaga ng mga malilibog!! Maputulan na kayo ng kamay.,0,0,0,0,0,1
21,"oh god kulot, mukhang aeta si ate HAHAHAHA",0,0,1,1,0,0
22,ISLAM IS A DEVIL'S RELIGION ILL SAY IT AGAIN,0,0,0,0,1,0
23,"nagaasaran pa kayo kung sino? mga engot. putangina niyo patayin niyo sarili niyo. napakabaho ng ugali, ilang beses ko na kayong pinagsabihan na wag gawin, para kayong mga bingi mga bobo kayo putangina niyo",0,0,1,0,0,0
24,Anong nililipad mo dyan PUTANGINA KANG SIRAULO KANG MONGOLOID PILOT KA DYAN SA AIRPORT?!! ILANG BESES KO BANG SASABIHIN NA HINDI AKO INTERESTED NA MAGTRABAHO SA AIRPORT MO OR SA RESTAURANT MO PUTANGINA MO KAYA GAWIN MONG REACHABLE ANG LAHAT NG WEBSITES FOR ME NG 24/7 TANGINA KA!!,0,0,1,0,0,0
25,Tangina... The baby boomers have to go.. Ang totoxic na naman dito sa conference.,1,0,0,0,0,0
26,eto yung sinasabi kong nakakaputangina na mga katoliko e na-drag masyado ung issue ni luka ng pukingina mga ipokrito na sumasamba sa mga kahoy mga putangina nyo,0,0,0,0,1,0
27,Tumandang binata si gago palibhasa di babae gusto lalake,1,1,0,0,0,0
28,Sarap patayin ng mga manager kong indiano,0,0,0,1,0,0
29,putangina bakit pag inaaccept ko friend request ng mga bakla nagpapasalamat pa,0,1,0,0,0,0
30,The neighbor's smell got in the condo pota amoy bumbay,0,0,1,1,0,0
31,TANGINA PORKET 13 LANG AKO GANYAN NA KAYO SAKEN HAYS MAGBBIRHTDAY DIN KASI AKO WEYT NYO LANG PAKYU GURANG NA KASI KAYO EH,1,0,0,0,0,0
32,"Itorture ka sana ng arabo na lima Saksakin, chochopin ulo, kamay mo at paa Tas idonate yung organs mo sa nangangailangan talaga",0,0,0,1,0,0
33,"Bobo kaba, dito ako nakatira mga kaklase finafillow ako, paano nila maiintindihan pinagsasabi ko pag tinagalog bobo talaga mga pinoy napaka tanga",0,0,0,1,0,0
34,mga bobo kayo mga bata,1,0,0,0,0,0
35,sana pag katapos ng project niyong dalawa nitong malandi na ito ipartner kana sa iba seth please wala kang future sa babaeng to mas malandi pa yan kay andrea promise dami lalaki pucha halos lahat ata ng lalaki kanya,0,1,0,0,0,0
