ID,Text,Age,Gender,Physical,Race,Religion,Others
1829,wala ka na ngang pakinabang bobo ka pang salot ka manangmana ka sa tatay mong salot,1,0,0,0,0,1
1095,kaya never talaga akong nanuod ng mga anime na yan e basta kahit ano galing sa japan mga rapist yang mga hapon na yan tangina lng nila talaga,0,0,0,1,0,0
175,putanginang patho exam yan kala mo kinuha sa impyerno yung mga tanong tapos sobrang lamig pa ng room kala ko kinukuha na ko ni lord,0,0,0,0,1,0
1659,ulol shrekasa ka pa sa catholic voteskatoliko ako pero never ko ibonoto isa man sa mga salot na lpigs,0,0,0,0,1,0
590,kung makakilos kala mo austistic amputa,0,0,1,0,0,0
1935,continental pakyu nga pala dun sa chingchong communist party putang ina ninyo lagot kayo sa mundo pag natapos ito may palubog lubog pa kayo ng fishboat ng vietnam at pangaagaw ng isla na di inyo pa kayong nalalaman hayop,0,0,0,1,0,0
1681,ang bobo mo naman english na nga di mo pa naintindihan ibig sabihin nung sinabi nya,0,0,0,0,0,1
19,putangina talaga ng mga inc seryoso lumayas na kayo sa kulto na yan mamamatay kayo dyan sinasabi ko sa inyo,0,0,0,0,1,0
424,ayoko na sana magsabi ng kung anu ano pero potah kainin niyo lahat ng pinagsasasabe niyo sa bata ko pakyu kayong lahat,0,0,0,0,0,1
1450,putangina kang gago ka apaka gago mo nimal ka sana flinush na lang kayo sa inidoro kung lalaki rin naman kayong cheater manloloko at babaero tangina men are so fckng trash,0,1,0,0,0,0
286,mas ulol ka peke ang pagiging katoliko mo tinamaan ka kasi dahil alam mong sinungaling at magnanakaw ang kandidato mo sino ba kandidato mo reveal mo nga kung proud ka,0,0,0,0,1,0
1755,ansaya dba sigaw ng sigaw ang mga kulto ni manalo buhoomamatay ka at imbalsamo kita,0,0,0,0,1,0
429,mag rant ka dun sa ka putanginahan mong gago ang landi mo tangina mo putang ina mo talaga puta ka puta ka ma hulog ka sana putangina mo,0,0,0,0,0,1
1630,tanginang mga bata to ang panget ng ugale ng mga bata ngayon wala ng respeto tangina,1,0,0,0,0,0
1612,magpakamatay ka na pakyu mukha kang pigsa lamuyon bwahahaha,0,0,1,0,0,0
670,tangina ako lang ba may slight irita when baby boomers go like mga millenials kasi blahblah even if they dont mean to insult they just wanna differentiate,1,0,0,0,0,0
32,itorture ka sana ng arabo na lima saksakin chochopin ulo kamay mo at paa tas idonate yung organs mo sa nangangailangan talaga,0,0,0,1,0,0
1584,tanginang mga baby bra warriors to kung makaasta akala mo ang tatanda na eh palamunin lng kayo ng pamilya nyo hoy,1,0,0,0,0,0
723,gago kang demonyong quiboloy feeling pastor ampota bobo na lang maniniwala sa yo bobo mga follors ng kjc isa kang kampon ni satanas hayop ka kung matapang ka harapin mo kaso mo sa amerika hindut ka,0,0,0,0,1,0
1234,tang ina mo ang bobo mo ang panget no wala kang kwento puto ka tigyawat ang selfish mo hindi ka na nakatulong wala kwentang anak wala kang kwentang kaibigan wala kang kwenta bilanh tao isa kang malaking salot sa lipunan sana mamatay ka na sana mamatay ka na tang ina,0,0,1,0,0,0
215,tong mga millenials na to wala ng ginawa sa snapchats at ig stories kundi dumila ng dumila wala na bang ibang pwedeng gawin kakaloka kayo ha medyo malaswa tingnan noh,1,0,0,0,0,0
1673,pogi ka pogi ka tngna hinde pangit mo gago ulol pakyu tanga inutil bobo buang punyeta pakshet leche pisti lintik hayop langhiya kang haup kang bobo,0,0,1,0,0,0
1346,mas putang ina buong angkan niyo hahahaahh gago ulol salon ng lipunan,0,0,0,0,0,1
933,ang panget ano daw nakakahiya sa mamang arabo,0,0,1,1,0,0
327,bakit ba feeling lagi ng mga straight na lalake na uhaw na uhaw sa kanila mga bading tangina nisimpleng mag sabon nga lang ng mukha di niyo magawa pero ang yayabang niyo please lang,0,1,0,0,0,0
561,napaka indemand ko naman ano ka jan aano pakyu mukha kang chimpanzee na may damit,0,0,1,0,0,0
1205,parang ang sarap awayin ng mga kerries tas mumurahin natin sila in tagalog bisaya ilocano kapampangan pangasinan and waray etc,0,0,0,1,0,0
701,yung mga inc halos makipagpatayan para ipagtanggol kulto etong ugok na to imbes na patayin yung apoy binuhusan pa lalo ng gasolina pag nakita ko tong hayup na to na ginugulpi sa kalye siguro pati ako makikibugbog eh,0,0,0,0,1,0
1860,sobrang toxic talaga ng mga baby bra warriors tangina niyo mag jackstone nalang kayo,1,0,0,0,0,0
1284,may lumapitna babae sa parisan namin napa titig ako shet ang ganda puta tas may dumating na bata at ung kasama nagulat ako puta badjao pala,0,0,0,1,0,0
342,these religious type of people are always the worst ones big yikes tangina pustahan mga baby boomers nanaman to pwe,1,0,0,0,1,0
630,tanga talo ka talaga bobo mo na nga panget ka pa,0,0,1,0,0,0
148,sinasamba nyo yang santo papa really these catholics are digging their way to hell fucking cult shit,0,0,0,0,1,0
1520,ill change my mind jesus fucking christ i swear to god if he wins or either one of them wins patayin niyo nalang ako really have lost faith in humanity theres no fucking way this country will solve poverty because of our incompetent government my god kahit hindi ka nagaaral,0,0,0,0,0,1
361,mga babae sa laro akala mo talaga ang galing wag kayo magkalat dito tangina ang bobobo nyo naman,0,1,0,0,0,0
84,pakyu kayo islam mga isis abusayaf gago lumayas kayo dito sa pilipinas,0,0,0,1,1,0
1507,tangina mga ignoranteng milenyal amputa first time niyo ba mapanood yung titanic tangina kawawa naman kayo kung oo,1,0,0,0,0,0
49,isa ka pang bobo na puro puna kay chot pero kabwakwan ni jc di mo punahin nung wc ni hindi na makahawak ng bola mga locals nanuod ka ba non o tanga ka lang talaga isip muna bago comment bobo hahaha wala kang kwenta kausap hilahin ko bigote mo eh lol,0,0,0,0,0,1
469,tomboy na feeling fuckboy amputa may tite ka,0,1,0,0,0,0
156,mahiya ka naman sa mukha mo la kong paki kung iglesia ka tangina walang katuturan parin mga sinasabi mo bobo ka bobo rin mga kakulto mo,0,0,1,0,1,0
1106,si aeta hahaahha kapal nya magsama sama silang mukang paa,0,0,1,1,0,0
1585,mga putangina nyo katoliko kayo mga wala kayong utak puro kayo dada,0,0,0,0,1,0
1579,jusko mamatay sana tong si nognog napakaano ng mga sinasabi,0,0,1,1,0,0
2088,medyo mababaw ata ito pero may special place in hell yung mga ghosters after agreed fwb setup tanginang hit and run i hope you fucking use condoms every time cause nakakalungkot kung dumami pa guys like you pakyu sagad hanggang mura lang yung maisasagad ko unlike your dick,0,1,0,0,0,0
2070,putangina mong babae ka sana maging batang ina ka,1,1,0,0,0,0
1754,sana mamatay na kayong dalawa ew jehova pa naman ganyan mga ugali pakyu,0,0,0,0,1,0
856,alam mo ang tanda mo na pero bobo ka pa rin jusmiyo manahimik ang mga matatandang walang utak,1,0,0,0,0,0
501,kingina sis lumpo ka pahirap ka lang sa buhay ng jowa mo,0,0,1,0,0,0
1905,ano ang pangarap mo sa iyong buhay ang pumatay ng ibat ibang lahing pinoy bicolano ilocano and many more,0,0,0,1,0,0
